title,comapny,location,date_opened,applied,screen,interview,offer,rejected,archived
associate software engineer,geocent,seal beach,11/5/22,1,0,0,0,0,0
backend software engineer,fandom,remote,11/3/22,1,0,0,0,0,0
mesh network software engineer,anduril,newport beach, ca, usa,11/3/22,1,0,0,0,0,0
software engineer (python),wavicle,remote,11/2/22,1,0,0,0,0,0
software engineer, monitoring,vercel,remote,11/2/22,1,0,0,0,0,0
software engineer (mid-level),cfive solutions,anaheim remote,11/1/22,1,0,0,0,0,0
software developer (java & python),extend information systems,remote,11/1/22,1,0,0,0,0,0
software engineer, backend (fully remote),clicktime,remote,11/1/22,1,0,0,0,0,0
software engineer in data,wiliot,remote/hybrid poway,11/1/22,1,0,1,0,0,0
software engineer,federal reserve of ksmo,kansas city mo remote,10/31/22,1,0,0,0,0,0
software system engineer,inductive automation,folsom remote,10/31/22,1,0,0,0,0,0
software engineer - nationwide,cardinal health,remote,10/31/22,1,0,0,0,0,0
software engineer ii,cribl,remote in usa,10/31/22,1,0,0,0,0,0
software engineer,beeline,denver hybrid,10/31/22,1,0,0,0,0,0
software engineer (university grad) 3043053,qualcomm,san diego,10/30/22,1,0,0,0,0,0
software engineer, machine learning group 3028618,qualcomm,san diego,10/30/22,1,0,0,0,0,0
data science & analytics analyst,softcrylic,atlanta,10/29/22,1,0,0,0,0,0
entry level devops engineer (ft),core software technologies,remote san antionio,10/29/22,1,0,0,0,0,0
software engineer, associate,infor,remote,10/29/22,1,0,0,0,0,0
software engineer,infor,remote,10/29/22,1,0,0,0,0,0
computational data scientist,allegis group,remote,10/29/22,1,0,0,0,0,0
data scientist (data analyst application engineer),ses corp,remote,10/29/22,1,0,0,0,0,0
cloud devops engineer,change healthcare,remote georgia,10/28/22,1,0,0,0,0,0
data engineer,allegis group,remote,10/28/22,1,0,0,0,0,0
sdet,evona,irvine hybrid,10/28/22,1,0,0,0,0,0
software engineer,oreily autoparts,remote,10/28/22,1,0,0,0,0,0
cloud engineer,nextgen solutions,remote,10/28/22,1,0,0,0,0,0
data engineer,vontive,remote,10/28/22,1,0,0,0,0,0
backend developer,paradigm,remote,10/28/22,1,0,0,0,0,0
software development team (all levels),parler,remote,10/27/22,1,0,0,0,0,0
cloud engineering - developer (remote),mythics,virginia remote,10/27/22,1,0,0,0,0,0
software engineer,addepar,remote in usa,10/27/22,1,0,0,0,0,0
data engineer - remote,piper companies,remote virginia,10/27/22,1,0,0,0,0,0
arrow platform – back-end developer,atmon solon,remote,10/27/22,1,0,0,0,0,0
embedded software engineer,actalent,dallas remote,10/27/22,1,0,0,0,0,0
software engineer (c, c++),ledgent,rancho cucamonga,10/27/22,1,0,0,0,0,0
software engineer,rescale,remote + 1 more,10/27/22,1,0,0,0,0,0
software engineer – conversion,l3harris technologies,anaheim,10/26/22,1,0,0,0,0,0
software engineer,addepar,remote in usa,10/26/22,1,0,0,0,0,0
software engineer (data infrastructure),gantry,remote,10/26/22,1,0,0,0,0,0
associate software engineer,extreme networks,remote,10/26/22,1,0,0,0,0,0
